17.7,-0.0962,2.69,0.4,1.67,0.375,-1.35
17.8,-0.0937,2.71,0.419,1.67,0.344,-1.34
17.9,-0.0906,2.72,0.437,1.67,0.312,-1.33
18,-0.0871,2.74,0.455,1.67,0.281,-1.32
18.1,-0.083,2.75,0.474,1.66,0.249,-1.31
18.2,-0.0785,2.76,0.491,1.66,0.218,-1.3
18.3,-0.0736,2.78,0.509,1.66,0.186,-1.28
18.4,-0.0682,2.79,0.526,1.65,0.155,-1.27
18.5,-0.0624,2.8,0.543,1.65,0.123,-1.26
18.6,-0.0562,2.81,0.56,1.65,0.092,-1.25
18.7,-0.0495,2.82,0.577,1.64,0.0609,-1.23
18.8,-0.0425,2.83,0.593,1.64,0.0299,-1.22
18.9,-0.0351,2.84,0.609,1.63,-0.000733,-1.2
19,-0.0274,2.85,0.625,1.63,-0.0311,-1.19
19.1,-0.0193,2.86,0.64,1.63,-0.0612,-1.18
19.2,-0.011,2.86,0.655,1.62,-0.091,-1.16
19.3,-0.00229,2.87,0.67,1.62,-0.12,-1.14
19.4,0.00667,2.87,0.684,1.61,-0.149,-1.13
19.5,0.0159,2.88,0.698,1.6,-0.178,-1.11
19.6,0.0253,2.88,0.712,1.6,-0.206,-1.1
19.7,0.035,2.89,0.726,1.59,-0.234,-1.08
19.8,0.0449,2.89,0.739,1.59,-0.261,-1.06
19.9,0.0549,2.89,0.751,1.58,-0.287,-1.04
20,0.0651,2.89,0.764,1.58,-0.313,-1.03
20.1,0.0755,2.89,0.776,1.57,-0.339,-1.01
20.2,0.086,2.89,0.788,1.56,-0.363,-0.989
20.3,0.0965,2.89,0.799,1.56,-0.388,-0.971
20.4,0.107,2.89,0.81,1.55,-0.411,-0.952
20.5,0.118,2.88,0.821,1.54,-0.434,-0.933
20.6,0.129,2.88,0.831,1.54,-0.456,-0.914
20.7,0.139,2.87,0.841,1.53,-0.478,-0.894
20.8,0.15,2.87,0.851,1.52,-0.499,-0.874
20.9,0.161,2.86,0.86,1.51,-0.519,-0.854
21,0.172,2.85,0.869,1.51,-0.539,-0.834
21.1,0.182,2.85,0.878,1.5,-0.558,-0.814
21.2,0.193,2.84,0.886,1.49,-0.576,-0.794
21.3,0.203,2.83,0.894,1.48,-0.593,-0.773
21.4,0.214,2.82,0.901,1.47,-0.61,-0.752
21.5,0.224,2.8,0.908,1.46,-0.626,-0.732
21.6,0.234,2.79,0.915,1.45,-0.642,-0.711
21.7,0.244,2.78,0.921,1.44,-0.656,-0.69
21.8,0.253,2.77,0.927,1.43,-0.67,-0.668
21.9,0.263,2.75,0.933,1.43,-0.684,-0.647
22,0.272,2.73,0.938,1.41,-0.697,-0.626
22.1,0.281,2.72,0.943,1.4,-0.709,-0.605
22.2,0.29,2.7,0.947,1.39,-0.72,-0.583
22.3,0.298,2.68,0.951,1.38,-0.731,-0.562
22.4,0.307,2.66,0.954,1.37,-0.741,-0.541
22.5,0.315,2.64,0.957,1.36,-0.751,-0.519
22.6,0.322,2.62,0.96,1.35,-0.76,-0.498
22.7,0.33,2.6,0.962,1.34,-0.769,-0.476
22.8,0.337,2.58,0.964,1.32,-0.777,-0.455
22.9,0.343,2.56,0.965,1.31,-0.785,-0.434
23,0.35,2.53,0.966,1.3,-0.792,-0.413
23.1,0.356,2.51,0.966,1.28,-0.799,-0.391
23.2,0.361,2.48,0.966,1.27,-0.805,-0.37
